symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
gte,12-18-2020,-,-1.92,1.40%,366.98M,137.00M,-,-0.11,-78.87%,359.90M,30.02%,-703.10M,-,-0.08,45.50%,0.20%,59.84%,301.00M,0.46,-57.20%,-5.21%,0.14,5.88%,0.83,0.44,-,-43.70%,-,-71.35%,0.14,2.51,10.00%,-111.20%,0.18 - 1.38,-71.80%,-,3.25,17.10%,2.90%,-73.64%,2.22,-,1.70,0.40%,51.20%,104.96%,0.03,362,1.70,-59.90%,-,59.02,7.39% 9.50%,Yes,2.59,-279.20%,-,0.68,0.36,Yes,2.58,Nov 02 AMC,-,small,137000000.0,gte,Gran Tierra Energy Inc. Common Stock,134682231.0,Canada,,Energy,Oil & Gas Production
gtec,12-18-2020,-,-,1.30%,10.02M,74.64M,-,-,0.00%,1.18M,33.83%,-,-,-,0.50%,11.15%,201.67%,54.87M,1.36,336.00%,280.44%,0.03,213.42%,4.26,1.70,-,-,-,38.43%,1.01,7.18,14.00%,-,1.12 - 11.40,44.80%,-,-,0.00%,7.50%,-36.49%,-,-,0.70,-,-,546.43%,0.84,304,0.90,38.20%,-,50.59,6.16% 10.47%,No,0.93,110.60%,-,0.03,7.64,Yes,0.01,Nov 23 AMC,-,small,74640000.0,gtec,Greenland Technologies Holding Corporation Ordinary Shares,76678872.0,China,2018.0,Technology,Industrial Machinery/Components
gtes,12-18-2020,49.84,0.26,0.19%,290.77M,3.70B,14.08,0.91,0.00%,290.23M,-3.26%,74.80M,22.66,0.19,-,0.04%,16.21%,2.72B,1.36,184.40%,-0.70%,0.77,29.28%,8.94,1.43,29.43%,1.00%,15.44,-7.80%,2.32,5.51,2.20%,2.90%,5.42 - 14.30,-7.27%,-,13.69,56.30%,15.00%,-10.77%,-,-,2.40,0.30%,36.50%,135.42%,0.36,14700,3.10,-4.60%,7.10%,44.82,2.26% 2.71%,Yes,1.15,17.40%,2.70%,0.72,12.84,Yes,1.13,Nov 03 BMO,0.00%,large,3700000000.0,gtes,Gates Industrial Corporation plc Ordinary Shares,3751191013.0,,2018.0,Technology,Industrial Machinery/Components
gth,12-18-2020,-,-16.20,-,29.48M,1.24B,-,-0.21,-,3.20M,0.43%,-478.70M,-,-0.11,20.60%,15.71%,14.19%,60.20M,20.53,-32.40%,-5.42%,1.71,7.61%,9.53,1.47,44.70%,-,19.53,-,3.24,4.32,-,-,9.03 - 17.71,-12.50%,-,-,-,-77.60%,-20.95%,-,-,5.70,-,56.40%,55.04%,0.7,663,5.70,-49.20%,-67.20%,62.55,5.36% 5.00%,No,0.06,93.00%,-,2.1,12.72,Yes,0.02,Nov 09 BMO,-,large,1240000000.0,gth,Genetron Holdings Limited ADS,1115128692.0,China,2020.0,Health Care,Medical Specialities
gthx,12-18-2020,-,-2.90,0.70%,38.01M,701.25M,-,-3.91,-10.79%,33.96M,-3.28%,-109.30M,-,-0.87,95.50%,21.66%,54.16%,28.70M,24.43,-27.60%,2.34%,6.02,-16.48%,5.20,3.46,-38.70%,-41.50%,-,-31.65%,6.11,2.94,-,-49.40%,8.80 - 27.28,-31.93%,-,-,-65.60%,-,-34.05%,2.46,-,7.50,-,-,104.43%,1.2,104,7.50,-,-,49.77,4.45% 6.66%,Yes,0.10,64.40%,-,0.48,18.46,Yes,0.10,Nov 04 AMC,-,small,701250000.0,gthx,G1 Therapeutics Inc. Common Stock,701011571.0,United States,2017.0,Health Care,Major Pharmaceuticals
gtim,12-18-2020,-,-1.11,18.20%,12.60M,30.58M,-,-,5.68%,9.33M,78.12%,-13.90M,-,-,9.50%,0.35%,92.57%,109.90M,0.28,-169.30%,0.89%,0.50,129.84%,1.09,2.61,-,-13.40%,-,78.12%,1.07,2.66,30.00%,-86.80%,0.45 - 3.24,79.25%,-,5.27,-40.18%,-39.10%,-12.09%,2.10,-,0.70,20.10%,20.50%,533.33%,0.29,209,0.70,-1.00%,-10.90%,67.02,19.26% 11.48%,Yes,1.25,136.30%,-12.70%,2.23,2.93,Yes,0.80,Dec 15 AMC,-,small,30580000.0,gtim,Good Times Restaurants Inc. Common Stock,37256730.0,United States,,Consumer Services,Restaurants
gtls,12-18-2020,96.39,1.22,0.40%,36.06M,4.28B,35.61,3.31,-6.25%,35.97M,13.36%,43.80M,6.14,0.77,-,10.67%,63.57%,1.21B,3.54,-15.00%,0.21%,9.11,146.58%,36.51,3.23,32.27%,2.40%,119.18,71.21%,3.32,35.44,15.69%,4.70%,15.00 - 123.23,74.53%,-,42.44,-13.10%,3.70%,-4.41%,1.79,-,1.40,1.70%,27.90%,685.27%,4.43,5743,2.10,-19.20%,7.70%,59.50,2.96% 4.03%,Yes,0.55,15.50%,4.90%,0.67,119.77,Yes,0.54,Oct 22 BMO,0.00%,large,4280000000.000001,gtls,Chart Industries Inc. Common Stock,4290841275.0,United States,2006.0,Capital Goods,Metal Fabrications
gtn,12-18-2020,7.68,2.33,1.20%,95.00M,1.71B,10.43,1.72,-6.83%,86.79M,-0.33%,228.00M,0.21,1.75,87.00%,2.97%,31.25%,2.17B,0.79,-46.50%,-2.94%,2.99,30.58%,16.44,1.09,-47.49%,3.20%,23.13,-14.36%,4.88,3.67,36.90%,15.20%,8.53 - 23.07,-16.56%,-,3.35,9.10%,7.80%,-22.45%,2.07,-,2.70,33.10%,37.00%,109.73%,0.53,6912,2.70,16.80%,26.80%,54.60,2.19% 2.90%,Yes,0.00,149.30%,10.50%,0.47,17.94,Yes,2.37,Nov 05 BMO,0.00%,large,1710000000.0,gtn,Gray Television Inc. Common Stock,1719358161.0,United States,,Consumer Services,Broadcasting
gts,12-18-2020,9.18,2.33,0.50%,23.07M,509.41M,-,-,-0.46%,22.48M,-6.48%,54.30M,0.92,-,92.50%,4.02%,15.22%,3.54B,0.14,251.50%,-4.33%,9.60,11.72%,43.79,0.49,-,1.80%,19.00,13.62%,5.43,3.93,10.00%,5.60%,9.13 - 24.70,15.47%,-,3.36,11.60%,9.80%,-13.56%,0.75,-,-,7.80%,-,133.84%,0.69,3909,-,14.00%,2.60%,44.13,2.70% 3.25%,Yes,0.13,74.20%,1.50%,0.34,21.4,Yes,0.05,Nov 06 BMO,0.00%,small,509410000.0,gts,Triple-S Management Corporation Class B Common Stock,500469542.0,United States,2007.0,Finance,Accident &Health Insurance
gtt,12-18-2020,-,-2.85,5.20%,57.26M,209.99M,-,-1.52,0.00%,42.59M,-24.04%,-161.90M,-,-0.49,74.70%,20.03%,-29.03%,1.70B,0.12,60.80%,-2.86%,15.60,-56.46%,3.44,1.04,45.10%,-3.40%,-,-66.35%,1.81,1.97,25.00%,-58.00%,3.38 - 15.77,-68.55%,-,1.47,-17.20%,3.40%,-77.36%,1.69,-,0.60,52.80%,44.90%,5.62%,0.4,3100,0.60,-5.70%,5.40%,40.24,8.78% 10.17%,Yes,16.77,-197.60%,-9.50%,3.93,3.6,Yes,16.59,-,-,small,209990000.0,gtt,GTT Communications Inc. Common Stock,212044434.0,United States,,Public Utilities,Telecommunications Equipment
gty,12-18-2020,23.84,1.16,0.30%,42.23M,1.17B,21.86,1.26,0.00%,36.24M,-2.72%,48.10M,-,0.29,68.20%,1.12%,4.04%,146.20M,8.01,1.50%,-1.25%,2.63,-7.95%,14.63,1.88,10.24%,3.80%,34.00,-14.76%,1.37,20.09,-,8.00%,16.36 - 32.94,-16.22%,1.56,102.74,14.60%,6.20%,-16.39%,0.77,5.66%,-,7.10%,83.80%,68.34%,0.71,31,-,4.10%,49.80%,40.09,2.33% 2.46%,Yes,0.91,-3.20%,32.90%,1.66,27.6,Yes,0.91,Oct 21 AMC,128.00%,large,1170000000.0,gty,Getty Realty Corporation Common Stock,1176317948.0,United States,,Finance,Real Estate
gtyh,12-18-2020,-,-1.29,1.90%,53.84M,272.52M,-,-0.16,3.18%,53.57M,45.51%,-68.10M,-,-0.05,37.40%,2.04%,94.74%,46.50M,5.86,-13.00%,-4.65%,10.82,27.90%,5.83,0.89,38.50%,-15.80%,8.00,-11.60%,0.12,43.95,-,-21.50%,2.16 - 7.39,-12.05%,-,-,-,-29.90%,-29.90%,0.29,-,0.50,-,60.50%,139.81%,0.36,108,0.50,43.20%,-,68.36,8.61% 7.29%,No,0.05,10.70%,-,0.74,5.18,Yes,0.01,Nov 05 BMO,-,small,272520000.0,gtyh,GTY Technology Holdings Inc. Common Stock,285533312.0,United States,2016.0,Technology,EDP Services
gure,12-18-2020,-,-1.66,3.60%,9.57M,41.74M,-,-,0.00%,6.42M,-8.44%,-15.80M,-,-,6.00%,0.01%,-24.82%,16.40M,2.54,63.50%,0.66%,0.06,-23.14%,27.55,0.15,-,-5.80%,-,59.84%,9.44,0.44,19.00%,-6.10%,2.50 - 6.41,61.54%,-,-,-26.20%,-9.80%,-35.78%,0.46,-,21.30,-37.80%,22.60%,64.80%,0.21,606,21.30,133.30%,-,35.78,2.74% 4.57%,No,0.01,77.80%,-96.50%,2.2,4.11,Yes,0.01,-,-,small,41740000.0,gure,Gulf Resources Inc. (NV) Common Stock,41693478.0,China,,Basic Industries,Major Chemicals
gut,12-18-2020,-,-0.55,1.29%,54.92M,445.96M,-,-,0.00%,-,4.50%,-,-,-,7.69%,-,5.05%,9.67M,46.12,-,-,5.70,12.00%,3.90,2.08,-,-,-,5.05%,-,-,-,-,4.50 - 8.25,4.50%,0.60,-,-,-,-1.58%,-,7.39%,-,-,-,80.44%,0.13,-,-,-15.50%,-,62.52,1.43% 1.83%,No,-,-,-,0.55,8.1,Yes,-,-,-,small,445960000.0,gut,Gabelli Utility Trust (The) Common Stock,442117858.0,United States,,,
gv,12-18-2020,21.50,0.33,0.60%,24.52M,171.67M,-,-,0.00%,19.96M,0.57%,8.00M,-,-,38.30%,0.18%,65.72%,185.10M,0.93,38.60%,1.55%,0.12,92.58%,2.91,2.41,-,5.40%,-,97.46%,0.84,8.33,-,11.60%,2.26 - 7.01,97.46%,-,-,123.70%,8.10%,0.00%,1.78,-,-,12.90%,18.70%,210.18%,0.1,529,2.10,8.30%,6.40%,81.03,0.17% 0.21%,Yes,0.57,-6.20%,4.30%,0.0,7.01,Yes,0.37,Nov 04 AMC,0.00%,small,171670000.0,gv,Goldfield Corporation (The) Common Stock,171657738.0,United States,,Basic Industries,Water Supply
gva,12-18-2020,-,-2.26,1.05%,46.74M,1.25B,15.99,1.67,0.00%,46.21M,7.18%,-,-,-,97.91%,9.83%,50.73%,3.39B,0.37,-,-,11.11,46.76%,26.12,1.02,-,-,17.75,-3.19%,-,-,7.00%,-,8.90 - 28.68,-3.47%,0.52,-,-3.47%,-,-6.87%,-,1.95%,-,-,-,200.11%,0.94,7000,-,3.10%,-,56.19,2.44% 3.67%,Yes,-,-63.20%,-,0.63,27.09,Yes,-,-,-,large,1250000000.0,gva,Granite Construction Incorporated Common Stock,1274401844.0,United States,,Basic Industries,Military/Government/Technical
gvp,12-18-2020,-,-0.77,5.50%,20.56M,26.86M,22.00,0.06,19.80%,16.26M,15.28%,-15.70M,-,-0.03,52.90%,0.05%,26.92%,62.30M,0.43,-34.30%,-1.98%,0.04,33.33%,0.56,2.36,112.80%,-30.80%,1.50,-28.26%,0.38,3.49,-,-109.30%,0.86 - 1.93,-20.00%,-,4.48,-8.00%,-34.10%,-31.61%,1.65,-,1.10,17.20%,25.70%,53.49%,0.11,321,1.10,-35.50%,-16.50%,54.37,7.96% 8.57%,No,1.19,47.40%,-25.20%,0.48,1.34,Yes,0.84,Nov 16 AMC,-,small,26860000.0,gvp,GSE Systems Inc. Common Stock,27836845.0,United States,,Technology,Computer Software: Prepackaged Software
gwac,12-18-2020,-,-,3.27%,21.48M,213.71M,-,-,-3.56%,-,-,-,-,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-,-,-,-,-,-,9.70 - 10.53,1.53%,-,-,-,-,-5.51%,-,-,-,-,-,2.58%,0.11,-,-,-,-,-,2.01% -,No,-,-,-,0.12,10.0,Yes,-,-,-,small,213710000.0,gwac,Good Works Acquisition Corp. Common Stock,214350440.0,United States,2020.0,Finance,Business Services
gwb,12-18-2020,-,-12.18,0.20%,55.08M,1.14B,11.10,1.88,39.96%,54.75M,21.58%,-680.80M,-,0.38,-,1.80%,65.35%,493.60M,2.31,-518.80%,-0.02%,2.67,60.15%,21.11,0.99,21.64%,-5.40%,18.86,-40.11%,7.94,2.63,3.70%,-50.50%,10.86 - 35.06,-39.84%,0.04,33.60,-53.30%,30.40%,-40.39%,1.30,0.19%,-,6.30%,-,92.45%,0.88,1607,-,-15.80%,61.00%,64.15,4.10% 4.18%,Yes,0.09,-77.20%,-,0.87,20.41,Yes,0.09,Oct 28 BMO,-,large,1140000000.0,gwb,Great Western Bancorp Inc. Common Stock,1136260131.0,United States,2014.0,Finance,Major Banks
gwgh,12-18-2020,-,-0.61,0.10%,30.59M,232.28M,-,-,0.00%,3.18M,-3.32%,24.70M,-,-,5.00%,2.70%,-19.56%,151.70M,1.53,111.60%,1.84%,6.91,-5.03%,-1.52,-,-,0.70%,-,-29.04%,2.82,2.48,20.00%,42.30%,6.50 - 10.50,-28.82%,-,-,32.50%,-1.30%,-33.43%,-0.13,-,-,24.80%,-,7.54%,0.38,130,-,28.40%,-14.90%,41.80,4.98% 5.66%,No,-,-198.80%,16.30%,1.68,6.86,Yes,-,-,0.00%,small,232280000.0,gwgh,GWG Holdings Inc Common Stock,230007915.0,United States,2014.0,Finance,Life Insurance
gwph,12-18-2020,-,-1.73,0.64%,31.36M,3.62B,274.79,0.42,-87.83%,30.87M,-15.91%,-53.90M,-,-0.82,84.40%,10.66%,19.51%,488.10M,7.41,97.60%,2.32%,8.45,-7.93%,23.42,4.93,122.70%,-6.10%,184.00,11.38%,15.33,7.53,-,-7.50%,67.98 - 144.00,10.38%,-,-,19.00%,-15.90%,-19.85%,2.20,-,4.30,59.60%,92.90%,69.77%,4.77,901,5.10,50.70%,-10.00%,42.50,3.82% 3.92%,Yes,0.02,12.40%,-11.00%,0.44,116.09,Yes,0.02,Nov 03 BMO,-,large,3620000000.0,gwph,GW Pharmaceuticals Plc American Depositary Shares,3621445425.0,United Kingdom,2013.0,Health Care,Major Pharmaceuticals
gwre,12-18-2020,-,-0.32,0.10%,83.61M,10.90B,394.88,0.33,-61.28%,79.12M,3.85%,-26.70M,-,-0.01,-,4.11%,20.86%,755.10M,14.43,-193.90%,-1.59%,5.37,14.35%,19.85,6.49,48.86%,-1.40%,129.50,16.94%,13.59,9.47,-,-2.00%,71.64 - 129.76,17.27%,-,107.03,-30.10%,-1.00%,-0.79%,1.36,-,7.30,14.30%,53.90%,79.69%,2.7,2690,7.30,8.20%,-4.10%,64.32,1.52% 2.24%,Yes,0.20,-32.70%,-4.30%,0.88,128.25,Yes,0.20,Dec 08 AMC,-,large,10900000000.0,gwre,Guidewire Software Inc. Common Stock,10745661166.0,United States,2012.0,Technology,Computer Software: Prepackaged Software
gwrs,12-18-2020,294.08,0.05,0.90%,22.59M,330.42M,144.10,0.10,0.84%,10.71M,9.67%,1.10M,19.61,0.00,35.10%,1.02%,32.69%,37.60M,8.79,-31.70%,-11.52%,3.15,31.84%,1.50,9.61,66.67%,0.40%,-,10.34%,0.79,18.26,15.00%,3.50%,8.51 - 16.20,9.58%,0.29,-,-50.10%,4.20%,-11.05%,0.58,2.01%,2.30,1.70%,99.00%,69.33%,0.7,74,2.30,9.10%,19.70%,51.87,6.61% 4.77%,No,3.39,2.90%,3.00%,0.79,15.2,Yes,3.39,Nov 06 BMO,590.40%,small,330420000.0,gwrs,Global Water Resources Inc. Common Stock,340747866.0,United States,2016.0,Public Utilities,Water Supply
gww,12-18-2020,34.89,11.70,0.30%,53.60M,21.65B,22.19,18.40,-45.00%,46.34M,-1.16%,630.00M,6.02,3.82,73.60%,1.57%,14.05%,11.70B,1.85,12.10%,0.21%,2.38,28.61%,39.76,10.27,12.59%,9.30%,392.53,18.46%,16.20,25.21,5.80%,32.60%,200.61 - 427.90,20.63%,6.12,41.88,6.30%,23.30%,-4.57%,1.16,1.50%,1.70,2.90%,36.70%,103.55%,7.88,23800,3.00,2.40%,7.90%,52.19,1.90% 1.74%,Yes,1.13,3.90%,5.40%,0.73,406.83,Yes,1.12,Oct 22 BMO,49.80%,large,21650000000.0,gww,W.W. Grainger Inc. Common Stock,21703896101.0,United States,,Consumer Services,Office Equipment/Supplies/Services
gyro,12-18-2020,-,-2.53,11.73%,1.48M,25.19M,-,-,0.00%,0.85M,-2.64%,-,-,-,47.65%,0.03%,-9.14%,2.74M,9.20,-,-,0.37,-6.44%,34.54,0.49,-,-,-,-15.64%,-,-,-,-,14.20 - 19.00,-9.87%,-,-,-,-,-10.58%,-,-,-,-,-,19.65%,0.35,6,-,-1.80%,-,53.39,0.12% 0.31%,No,-,-,-,0.01,16.25,Yes,-,-,-,small,25190000.0,gyro,Gyrodyne LLC Common Stock,24093550.0,United States,,Consumer Services,Building operators
h,12-18-2020,-,-1.87,1.70%,101.28M,7.52B,-,-2.38,-28.58%,37.24M,1.46%,-179.00M,-,-1.27,-,10.85%,38.42%,2.92B,2.58,7.50%,1.04%,5.71,43.92%,33.08,2.24,50.80%,-2.10%,59.69,-16.73%,20.61,3.60,3.70%,-4.90%,24.02 - 94.98,-17.23%,-,-,26.50%,-0.30%,-21.83%,1.54,-,2.70,2.60%,41.10%,209.12%,2.07,55000,2.70,-67.20%,-17.30%,60.58,2.54% 2.83%,Yes,0.97,-156.90%,-6.10%,1.02,73.64,Yes,0.89,Nov 04 AMC,-,large,7520000000.0,h,Hyatt Hotels Corporation Class A Common Stock,7492587865.0,United States,2009.0,Consumer Services,Hotels/Resorts
ha,12-18-2020,-,-6.51,2.16%,46.00M,827.12M,-,-2.26,0.00%,45.01M,-14.53%,-298.70M,-,-3.48,83.30%,7.14%,35.37%,1.40B,0.59,6.20%,2.24%,2.23,28.54%,15.59,1.14,80.70%,-7.30%,15.13,-39.45%,20.95,0.84,-,-33.70%,7.55 - 30.76,-39.57%,0.48,-,33.80%,13.40%,-42.46%,2.40,2.71%,1.20,4.10%,10.70%,134.44%,0.97,7087,1.20,-89.90%,-26.80%,44.08,3.61% 5.02%,Yes,1.81,-224.50%,-21.30%,0.69,18.21,Yes,1.62,Oct 27 AMC,-,small,827120000.0,ha,Hawaiian Holdings Inc. Common Stock,842765716.0,United States,,Transportation,Air Freight/Delivery Services
hae,12-18-2020,57.37,2.07,0.60%,50.70M,5.99B,33.55,3.54,-0.86%,50.47M,5.51%,106.10M,5.74,0.68,98.50%,2.32%,33.80%,902.50M,6.64,42.10%,0.04%,3.24,28.30%,13.18,9.01,44.73%,7.90%,126.71,3.02%,5.54,21.45,10.00%,17.40%,63.41 - 126.74,3.35%,-,50.08,35.40%,9.60%,-6.30%,0.55,-,1.30,1.70%,48.50%,87.27%,2.45,3004,2.20,-17.10%,15.20%,61.53,1.43% 1.96%,Yes,0.69,30.70%,11.80%,0.59,118.92,Yes,0.44,Nov 04 BMO,0.00%,large,5990000000.0,hae,Haemonetics Corporation Common Stock,6023964748.0,United States,1991.0,Health Care,Medical/Dental Instruments
hafc,12-18-2020,11.29,1.00,1.10%,30.46M,347.46M,10.84,1.05,1.20%,30.16M,9.46%,30.60M,1.41,0.36,92.20%,1.05%,39.66%,230.20M,1.51,-41.00%,1.29%,1.60,22.46%,18.49,0.61,-17.83%,0.50%,11.70,-43.72%,12.28,0.92,8.00%,5.40%,7.15 - 20.19,-43.29%,0.32,9.27,-7.60%,19.20%,-43.83%,1.31,2.82%,-,12.50%,-,58.60%,0.4,633,-,-11.90%,56.10%,56.37,2.66% 3.24%,Yes,0.21,34.10%,13.00%,0.53,11.28,Yes,0.21,Oct 27 AMC,69.30%,small,347460000.0,hafc,Hanmi Financial Corporation Common Stock,347436957.0,United States,,Finance,Major Banks
hain,12-18-2020,213.56,0.19,0.30%,101.56M,4.03B,27.15,1.48,0.00%,99.71M,4.60%,19.80M,8.34,0.30,-,7.29%,14.16%,2.07B,1.95,155.30%,-0.13%,10.01,28.07%,14.15,2.84,15.10%,1.20%,38.42,59.33%,0.27,146.45,25.60%,1.90%,18.12 - 40.62,54.69%,-,28.07,-31.10%,2.90%,-1.16%,0.89,-,1.00,-4.70%,23.50%,121.58%,0.83,4287,1.90,3.40%,2.70%,66.92,1.53% 2.14%,Yes,0.20,-123.40%,1.30%,0.66,39.88,Yes,0.20,Nov 10 BMO,0.00%,large,4030000000.000001,hain,Hain Celestial Group Inc. (The) Common Stock,4019460073.0,United States,,Consumer Non-Durables,Packaged Foods
hal,12-18-2020,-,-4.97,0.40%,882.00M,16.94B,28.29,0.67,-1.43%,881.17M,10.66%,-4363.00M,-,0.14,77.40%,4.52%,69.20%,16.40B,1.03,-170.50%,5.60%,3.03,50.36%,5.90,3.20,8.27%,-19.20%,18.37,-23.42%,2.36,8.01,-7.82%,-69.20%,4.25 - 25.47,-22.76%,0.18,14.56,-18.30%,-2.50%,-25.80%,2.83,0.95%,1.60,-7.40%,10.70%,344.71%,0.82,40000,2.30,-46.40%,-25.40%,54.59,3.18% 4.56%,Yes,1.89,-105.70%,-26.60%,0.53,19.12,Yes,1.85,Jan 19 BMO,-,large,16940000000.000004,hal,Halliburton Company Common Stock,16902217798.0,United States,,Energy,Oilfield Services/Equipment
hall,12-18-2020,-,-6.60,7.06%,18.14M,64.83M,15.82,0.23,0.00%,16.86M,7.88%,-119.60M,-,-0.19,52.80%,1.94%,33.33%,485.90M,0.13,-106.10%,-18.57%,1.93,17.11%,9.71,0.37,200.00%,-8.20%,5.50,-80.58%,10.25,0.35,4.10%,-57.60%,2.28 - 18.94,-79.74%,-,-,-15.40%,1.30%,-81.20%,1.47,-,-,7.60%,-,56.14%,0.16,486,-,4.10%,-28.60%,63.02,4.74% 4.41%,Yes,0.60,-634.10%,-24.60%,2.16,3.33,Yes,0.60,-,-,small,64830000.0,hall,Hallmark Financial Services Inc. Common Stock,60123112.0,United States,,Finance,Property-Casualty Insurers
halo,12-18-2020,279.15,0.15,0.80%,136.58M,5.74B,23.25,1.84,-22.37%,130.49M,5.17%,21.50M,4.81,0.53,-,11.85%,60.87%,199.60M,28.75,10.50%,-1.74%,8.10,49.81%,0.72,59.32,99.67%,4.10%,41.25,135.97%,2.58,16.55,58.00%,24.30%,12.71 - 44.53,140.89%,-,-,2.10%,-13.70%,-4.09%,1.76,-,16.40,21.10%,83.10%,236.03%,1.6,132,18.50,41.30%,17.30%,59.35,3.08% 3.96%,Yes,3.98,248.90%,10.80%,0.66,42.59,Yes,3.98,Nov 02 AMC,0.00%,large,5740000000.0,halo,Halozyme Therapeutics Inc. Common Stock,5791984940.0,United States,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
happ,12-18-2020,3.41,0.54,63.09%,24.69M,45.25M,-,-,0.00%,9.23M,-3.66%,12.70M,-,-,2.00%,1.33%,3.95%,65.10M,0.70,-34.60%,58.24%,0.20,-34.11%,3.22,0.57,-,18.40%,-,-59.75%,1.37,1.34,-,19.80%,1.63 - 6.06,-59.35%,-,4.71,-,15.20%,-69.65%,-,-,12.30,-,46.80%,12.88%,0.11,179,12.70,-45.20%,23.70%,50.06,5.39% 6.78%,No,0.04,-75.30%,19.50%,0.36,1.84,Yes,0.00,-,0.00%,small,45250000.0,happ,Happiness Biotech Group Limited Ordinary Shares,45002500.0,China,2019.0,Consumer Durables,Specialty Chemicals
harp,12-18-2020,-,-2.16,0.40%,25.08M,456.44M,-,-2.14,-9.16%,22.57M,18.56%,-52.80M,-,-0.55,79.60%,3.05%,-2.01%,12.20M,37.41,-123.30%,-0.60%,4.64,0.12%,2.42,6.86,-2.40%,-29.40%,-,13.07%,5.64,2.95,-,-68.10%,10.27 - 25.02,12.31%,-,11.61,-,-61.80%,-33.61%,-,-,3.50,-,-,61.73%,1.34,77,3.50,178.60%,-,56.96,8.88% 9.31%,Yes,0.00,18.40%,-,0.95,16.63,Yes,0.00,-,-,small,456440000.0,harp,Harpoon Therapeutics Inc. Common Stock,422075087.0,United States,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
has,12-18-2020,32.71,2.86,0.20%,137.26M,12.76B,20.94,4.47,-48.16%,126.54M,-2.75%,384.70M,4.11,1.14,83.00%,3.63%,12.77%,5.17B,2.47,96.80%,0.88%,4.72,25.39%,20.21,4.63,24.09%,3.80%,99.69,-11.19%,8.30,11.27,7.95%,13.90%,41.33 - 109.50,-11.43%,2.72,49.54,4.80%,8.20%,-14.58%,0.90,2.91%,1.40,2.00%,56.60%,126.32%,2.25,5600,1.60,12.80%,9.80%,57.43,1.61% 2.55%,Yes,1.86,-4.00%,7.40%,0.58,94.0,Yes,1.72,Oct 26 BMO,94.70%,large,12760000000.0,has,Hasbro Inc. Common Stock,12827436245.0,United States,,Consumer Non-Durables,Recreational Products/Toys
hasi,12-18-2020,43.71,1.45,1.40%,74.01M,4.78B,40.27,1.58,-17.46%,72.98M,16.99%,102.40M,8.10,0.33,86.80%,6.38%,47.17%,176.30M,27.14,64.20%,2.38%,6.93,123.50%,14.75,4.30,4.44%,3.70%,58.00,101.88%,11.69,5.43,5.40%,9.90%,15.01 - 66.35,97.11%,1.36,-,23.80%,3.50%,-4.40%,1.82,2.14%,-,25.60%,52.80%,322.58%,2.06,60,-,25.30%,65.90%,67.77,3.50% 3.48%,Yes,2.01,106.70%,58.10%,0.92,64.31,Yes,2.01,Nov 05 AMC,89.80%,large,4780000000.0,hasi,Hannon Armstrong Sustainable Infrastructure Capital Inc. Common Stock,4819601416.0,United States,2013.0,Consumer Services,Real Estate Investment Trusts
hayn,12-18-2020,-,-0.53,2.50%,12.47M,303.01M,20.55,1.16,1.11%,12.31M,7.58%,-6.60M,-,-0.56,95.20%,2.07%,37.56%,380.50M,0.80,-166.20%,-1.56%,2.54,3.20%,24.17,0.99,196.70%,-1.10%,29.00,-30.88%,3.71,6.42,20.00%,-2.20%,15.29 - 36.02,-33.37%,0.88,19.30,-17.20%,0.50%,-33.81%,1.54,3.69%,2.80,-4.80%,11.70%,55.92%,1.26,1037,9.20,-38.30%,0.20%,50.91,4.82% 5.30%,Yes,0.03,-190.60%,-1.70%,0.75,23.98,Yes,0.03,Nov 19 AMC,-,small,303010000.0,hayn,Haynes International Inc. Common Stock,304577812.0,United States,2007.0,Capital Goods,Steel/Iron Ore
hban,12-18-2020,17.84,0.71,0.20%,1.02B,13.02B,11.52,1.10,-2.37%,1.01B,1.04%,734.00M,-,0.29,76.20%,1.74%,38.03%,3.78B,3.44,6.10%,0.53%,1.79,46.86%,10.54,1.20,55.02%,0.60%,13.38,-15.74%,7.36,1.72,-2.25%,6.90%,6.82 - 15.16,-16.25%,0.60,10.73,11.90%,13.10%,-16.69%,1.49,4.75%,-,16.30%,-,85.19%,0.36,15680,-,-15.20%,76.50%,56.16,2.25% 2.76%,Yes,0.86,-20.80%,19.40%,0.89,12.56,Yes,0.86,Jan 22 BMO,83.50%,large,13020000000.0,hban,Huntington Bancshares Incorporated Common Stock,12859721961.0,United States,,Finance,Major Banks
